symbol,date,open,high,low,close
TSLA,2026-01-16 14:00:00,440.0600,440.6800,439.9000,440.6300
TSLA,2026-01-16 13:55:00,439.8900,440.1000,439.6800,440.0700
TSLA,2026-01-16 13:50:00,439.7199,440.2300,439.6400,439.8900
TSLA,2026-01-16 13:45:00,440.2900,440.4600,439.6000,439.6850
TSLA,2026-01-16 13:40:00,440.3050,440.7247,440.1200,440.2900
TSLA,2026-01-16 13:35:00,440.3550,440.3927,439.6800,440.3100
TSLA,2026-01-16 13:30:00,440.3500,440.8500,440.2700,440.3500
TSLA,2026-01-16 13:25:00,440.1000,440.4700,439.8800,440.3501
TSLA,2026-01-16 13:20:00,439.9300,440.1899,439.5700,440.0700
TSLA,2026-01-16 13:15:00,439.3040,439.9400,439.2900,439.9200
TSLA,2026-01-16 13:10:00,439.3800,439.7500,439.1100,439.2801
TSLA,2026-01-16 13:05:00,438.2700,439.4099,438.2400,439.3900
TSLA,2026-01-16 13:00:00,438.1500,438.7500,437.8300,438.2700
TSLA,2026-01-16 12:55:00,438.2500,438.5500,437.9300,438.1243
TSLA,2026-01-16 12:50:00,438.4900,438.5800,438.0201,438.2500
TSLA,2026-01-16 12:45:00,438.8100,439.0000,438.4000,438.5000
TSLA,2026-01-16 12:40:00,438.8400,438.8900,438.4000,438.8350
TSLA,2026-01-16 12:35:00,438.6750,439.1000,438.5300,438.8400
TSLA,2026-01-16 12:30:00,438.5500,438.9000,438.0700,438.6600
TSLA,2026-01-16 12:25:00,438.7700,439.0200,438.4400,438.5534
TSLA,2026-01-16 12:20:00,439.0100,439.3600,438.7100,438.8100
TSLA,2026-01-16 12:15:00,439.2000,439.3800,438.8400,439.0400
TSLA,2026-01-16 12:10:00,439.2300,439.5900,439.0100,439.1800
TSLA,2026-01-16 12:05:00,438.2100,439.4600,438.2100,439.2500
TSLA,2026-01-16 12:00:00,439.0500,439.0550,438.1300,438.2400
TSLA,2026-01-16 11:55:00,438.9600,439.3700,437.7701,439.0800
TSLA,2026-01-16 11:50:00,438.9200,439.7200,438.8500,438.9800
TSLA,2026-01-16 11:45:00,439.0300,439.3300,438.8400,438.9200
TSLA,2026-01-16 11:40:00,439.1400,439.4400,438.8610,439.0000
MSFT,2026-01-16 19:55:00,460.4200,460.7500,460.3200,460.5150
MSFT,2026-01-16 19:50:00,460.4500,460.5616,460.3000,460.5616
MSFT,2026-01-16 19:45:00,460.6600,460.7000,460.4977,460.5000
MSFT,2026-01-16 19:40:00,460.6850,460.8200,460.5903,460.6988
MSFT,2026-01-16 19:35:00,460.6600,460.8200,460.5800,460.5900
MSFT,2026-01-16 19:30:00,460.7193,460.7200,460.4000,460.6000
MSFT,2026-01-16 19:25:00,460.8500,460.9600,460.7100,460.7300
MSFT,2026-01-16 19:20:00,460.9000,460.9600,460.7100,460.7100
MSFT,2026-01-16 19:15:00,460.9050,460.9952,460.8100,460.8900
MSFT,2026-01-16 19:10:00,460.9700,461.0000,460.8100,461.0000
MSFT,2026-01-16 19:05:00,460.9500,461.0000,460.8200,460.9700
MSFT,2026-01-16 19:00:00,460.9500,461.0000,460.9500,461.0000
MSFT,2026-01-16 18:55:00,460.9500,460.9900,460.9500,460.9700
MSFT,2026-01-16 18:50:00,460.9492,460.9900,460.9200,460.9890
MSFT,2026-01-16 18:45:00,460.9500,461.0000,460.9000,460.9550
MSFT,2026-01-16 18:40:00,460.9200,461.0000,459.8600,460.9700
MSFT,2026-01-16 18:35:00,460.9988,461.0000,460.8100,460.9001
MSFT,2026-01-16 18:30:00,460.7000,460.9807,460.7000,460.9001
MSFT,2026-01-16 18:25:00,460.4100,460.7200,460.4100,460.7100
MSFT,2026-01-16 18:20:00,460.3000,460.5750,460.3000,460.5500
MSFT,2026-01-16 18:15:00,460.1515,460.6199,460.1515,460.3100
MSFT,2026-01-16 18:10:00,460.0750,460.2000,460.0600,460.1500
MSFT,2026-01-16 18:05:00,460.1000,460.1000,460.0500,460.0500
MSFT,2026-01-16 18:00:00,460.0750,460.1000,460.0500,460.0505
MSFT,2026-01-16 17:55:00,460.0250,482.2891,430.6063,460.0600
MSFT,2026-01-16 17:50:00,460.0382,477.2111,448.9516,460.0500
MSFT,2026-01-16 17:45:00,459.6700,460.0100,432.7163,460.0000
MSFT,2026-01-16 17:40:00,459.7000,477.2111,446.2397,477.2111
MSFT,2026-01-16 17:35:00,459.8700,477.2111,430.6063,459.6700
MSFT,2026-01-16 17:30:00,459.8100,459.9700,430.6063,459.9365
MSFT,2026-01-16 17:25:00,459.8200,460.0000,431.0298,459.9700
MSFT,2026-01-16 17:20:00,459.8800,459.9600,451.8694,459.8000
MSFT,2026-01-16 17:15:00,459.9700,474.5000,435.0588,459.9050
MSFT,2026-01-16 17:10:00,460.0000,477.2111,430.6063,460.0500
MSFT,2026-01-16 17:05:00,459.9700,460.1000,459.9500,459.9768
MSFT,2026-01-16 17:00:00,459.9500,460.1500,459.8600,460.0533
MSFT,2026-01-16 16:55:00,460.1000,460.1500,459.8600,459.9900
MSFT,2026-01-16 16:50:00,460.0300,460.1000,459.9500,460.0800
MSFT,2026-01-16 16:45:00,460.0000,460.1000,459.9500,459.9600
MSFT,2026-01-16 16:40:00,459.9650,460.0000,459.8600,459.9988
MSFT,2026-01-16 16:35:00,460.1500,460.1500,459.8600,459.9900
MSFT,2026-01-16 16:30:00,459.9550,460.1400,459.8600,460.0400
MSFT,2026-01-16 16:25:00,459.9800,460.1499,459.8500,460.0000
MSFT,2026-01-16 16:20:00,460.1150,460.2000,459.8600,460.0000
MSFT,2026-01-16 16:15:00,460.0300,460.2300,459.8600,460.0800
